# Eye Tracking Keypress Labels
# Recording started: 2025-11-30 17:13:48.808
# Sampling rate: 1000 Hz (1 sample per millisecond)
# Columns: sample_number, timestamp_ms, elapsed_ms, label
# Labels: stare, left, up, down, right, unknown, blink
# Press ESC to stop recording
# EndOfHeader
0	1764551628810.348	0.000	stare
1	1764551628811.381	1.033	stare
2	1764551628812.401	2.053	stare
3	1764551628813.428	3.080	stare
4	1764551628814.448	4.100	stare
5	1764551628815.384	5.036	stare
6	1764551628816.401	6.053	stare
7	1764551628817.419	7.071	stare
8	1764551628818.445	8.097	stare
9	1764551628819.465	9.117	stare
10	1764551628820.367	10.019	stare
11	1764551628821.398	11.050	stare
12	1764551628822.424	12.076	stare
13	1764551628823.442	13.094	stare
14	1764551628824.461	14.113	stare
15	1764551628825.351	15.003	stare
16	1764551628826.367	16.019	stare
17	1764551628827.394	17.046	stare
18	1764551628828.413	18.065	stare
19	1764551628829.447	19.099	stare
20	1764551628830.369	20.021	stare
21	1764551628831.400	21.052	stare
22	1764551628832.425	22.077	stare
23	1764551628833.449	23.101	stare
24	1764551628834.347	23.999	stare
25	1764551628835.372	25.024	stare
26	1764551628836.397	26.049	stare
27	1764551628837.420	27.072	stare
28	1764551628838.446	28.098	stare
29	1764551628839.471	29.123	stare
30	1764551628840.366	30.018	stare
31	1764551628841.409	31.061	stare
32	1764551628842.440	32.092	stare
33	1764551628843.470	33.122	stare
34	1764551628844.368	34.020	stare
35	1764551628845.392	35.044	stare
36	1764551628846.415	36.067	stare
37	1764551628847.572	37.224	stare
38	1764551628848.358	38.010	stare
39	1764551628849.383	39.035	stare
40	1764551628850.405	40.057	stare
41	1764551628851.418	41.070	stare
42	1764551628852.433	42.085	stare
43	1764551628853.445	43.097	stare
44	1764551628854.463	44.115	stare
45	1764551628855.357	45.009	stare
46	1764551628856.377	46.029	stare
47	1764551628857.392	47.044	stare
48	1764551628858.406	48.058	stare
49	1764551628859.418	49.070	stare
50	1764551628860.454	50.106	stare
51	1764551628861.369	51.021	stare
52	1764551628862.448	52.100	stare
53	1764551628863.344	52.996	stare
54	1764551628864.398	54.050	stare
55	1764551628865.425	55.077	stare
56	1764551628866.465	56.117	stare
57	1764551628867.369	57.021	stare
58	1764551628868.397	58.049	stare
59	1764551628869.389	59.041	stare
60	1764551628870.387	60.039	stare
61	1764551628871.424	61.076	stare
62	1764551628872.458	62.110	stare
63	1764551628873.365	63.017	stare
64	1764551628874.396	64.048	stare
65	1764551628875.431	65.083	stare
