# OpenSignals Text File Format. Version 1
# {"84:BA:20:AE:BF:DA": {"position": 0, "device": "bitalino_rev", "device name": "84:BA:20:AE:BF:DA", "device connection": "BTH84:BA:20:AE:BF:DA", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2025-11-9", "time": "18:10:45.414", "channels": [1, 2, 3, 4, 5, 6], "sensor": ["RAW", "RAW", "RAW", "RAW", "RAW", "RAW"], "label": ["A1", "A2", "A3", "A4", "A5", "A6"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2", "A3", "A4", "A5", "A6"], "special": [{}, {}, {}, {}, {}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	514	510	0	538	36	0	
1	0	0	0	0	512	511	0	532	36	0	
2	0	0	0	0	511	512	0	520	36	0	
3	0	0	0	0	515	513	0	513	36	0	
4	0	0	0	0	508	513	1	511	36	0	
5	0	0	0	0	506	512	0	513	36	0	
6	0	0	0	0	510	513	0	513	36	0	
7	0	0	0	0	509	514	0	519	36	0	
8	0	0	0	0	508	514	0	522	36	0	
9	0	0	0	0	505	515	0	519	36	0	
10	0	0	0	0	505	513	0	507	36	0	
11	0	0	0	0	513	514	0	498	36	0	
12	0	0	0	0	509	513	0	496	36	0	
13	0	0	0	0	514	513	0	503	36	0	
14	0	0	0	0	507	512	0	513	36	0	
15	0	0	0	0	513	515	0	527	36	0	
0	0	0	0	0	515	517	1	538	36	0	
1	0	0	0	0	504	513	0	550	36	0	
2	0	0	0	0	515	514	0	562	36	0	
3	0	0	0	0	509	515	0	570	36	0	
4	0	0	0	0	516	512	0	569	36	0	
5	0	0	0	0	505	513	0	563	36	0	
6	0	0	0	0	511	513	0	547	37	0	
7	0	0	0	0	502	513	0	529	36	0	
8	0	0	0	0	512	511	0	510	36	0	
9	0	0	0	0	510	513	0	484	36	0	
10	0	0	0	0	505	514	0	456	36	0	
11	0	0	0	0	515	514	0	438	36	0	
12	0	0	0	0	512	514	0	427	36	0	
13	0	0	0	0	512	512	0	431	36	0	
14	0	0	0	0	511	514	0	438	36	0	
15	0	0	0	0	505	515	0	456	36	0	
